Estado,muertes,Vuelos,densidad poblacional,partido
    Alaska ,245,1020,3.726.366,Republicano
    Alabama ,6177,1093,0.49896,Republicano
    Arkansas ,2798,9967,2.437.618,Republicano
    Arizona ,6673,809,2.236.273,Republicano
    California ,42960,9155,9.792.996,Democrata
    Colorado ,12657,14307,2.121.794,Democrata
    Connecticut ,25636,1273,28.488.561,Democrata
    Delaware ,4599,461,19.159.868,Democrata
    Florida,28390,6899,15.335.601,Republicano
    Georgia ,23341,13953,7.062.041,Republicano
    Hawaii ,414,2199,8.538.914,Democrata
    Iowa ,7387,1035,819.553,Republicano
    Idaho ,1600,17540,8.860.679,Democrata
    Illinois ,50061,2482,7.211.938,Republicano
    Indiana ,16471,926,2.181.632,Republicano
    Kansas ,4021,609,1.374.942,Democrata
    Kentucky ,4228,1862,4.369.293,Democrata
    Louisiana ,23474,2872,4.164.495,Democrata
    Massachusetts ,57790,2797,1.675.455,Democrata
    Maryland ,21812,6519,24.035.313,Republicano
    Maine ,820,5674,34.165.841,Republicano
    Michigan ,30481,7194,6.826.165,Democrata
    Minnesota ,5101,6514,2.720.796,Democrata
    Missouri ,6508,358,2.457.443,Republicano
    Mississippi ,6275,4676,3.441.034,Republicano
    Montana ,269,291,281.807,Democrata
    North Carolina ,9425,1336,969.612,Republicano
    North Dakota ,981,7756,1.067.202,Democrata
    Nebraska,4109,693,5.849.777,Republicano
    New Hampshire ,1832,2754,46.771.741,Democrata
    New Jersey ,102494,1531,666.993,Democrata
    New Mexico ,3130,3507,16.010.881,Democrata
    Nevada ,4114,15839,8.246.204,Democrata
    New York ,232519,142,425.309,Republicano
    Ohio ,16544,1745,11.045.542,Republicano
    Oklahoma ,3183,1340,2.219.450,Republicano
    Oregon ,1889,2697,1.685.672,Democrata
    Pennsylvania ,42128,7935,11.051.640,Democrata
    Rhode Island ,8473,1286,39.481.516,Democrata
    South Carolina ,5175,1204,6.530.033,Republicano
    South Dakota ,2417,473,449.318,Republicano
    Tennessee ,9652,4803,6.339.068,Republicano
    Texas ,24930,17701,4.242.146,Republicano
    Utah ,3941,5481,1.485.347,Republicano
    Virginia ,15651,413,2.623.583,Republicano
    Vermont ,586,4001,8.327.925,Democrata
    Washington ,8278,6833,4.378.098,Democrata
    Wisconsin ,5963,242,2.900.558,Republicano
    West Virginia ,974,1949,4.144.597,Democrata
    Wyoming ,450,101,229.744,Republicano
